CODE,DESCRIPTION,FUNCTIONAL GROUP,KEYBOARD SHORTCUT CODE
LOB_ACA,Acanthastrea,HC,
ACR_ACR,Acropora,HC,
BL_ACR,Acropora Bleached,BL_HC,
ACT,Actinaria (Anemones),SI,
ACR_ALV,Alveopora,HC,
ASC,"Ascidiacea (Ascidians, Tunicates)",SI,
AST,Asteroidea (Sea stars),MI,
ACR_AST,Astreopora,HC,
SP_BR,Branching Sponge,SP,
MA_BR,Brown Macroalgae,MA,
BRY,Bryozoa (Bryozoans),SI,
MER_COA,Coelastrea,HC,
COR,Corallimorpharia (Corallimorphs),SI,
COS_COS,Coscinaraea,HC,
CRI,Crinoidae (Feather Stars),MI,
AST_COT,Crown-of-Thorns,MI,
CA_CCA,Crustose Coralline Algae,CA,
CM,Cyanobacterial Mats,CM,
MER_CYP,Cyphastrea,HC,
NEP_DNE,Dendronephthya,SC,
ECH_DIA,Diadema,MI,
DIP_DIP,Diploastrea,HC,
MER_DIS,Dipsastraea,HC,
ECH,Echinoidea (Sea Urchins),MI,
LOB_ECL,Echinophyllia,HC,
MER_ECH,Echinopora,HC,
MA_RE_ENC,Encrusting Red Macroalgae,MA,
SP_EN,Encrusting Sponge,SP,
CA_ECA,Erect Coralline Algae,CA,
EUP_EUP,Euphyllia,HC,
MER_FVS,Favites,HC,
EUP_FIM,Fimbriaphyllia,HC,
EUP_GAL,Galaxea,HC,
MER_GOS,Goniastrea,HC,
POR_GON,Goniopora,HC,
MA_GR,Green Macroalgae,MA,
HEL,Heliopora (Blue coral),SC,
HOL,Holothuroidea (Sea Cucumbers),MI,
MER_HYD,Hydnophora,HC,
HYR,Hydrozoa (Hydroids),SI,
ACR_ISO,Isopora,HC,
LER_LER,Leptastrea,HC,
MER_LEP,Leptoria,HC,
FUN_LIT,Lithophyllon,HC,
NEP_LTP,Lithophyton,SC,
LOB_LOB,Lobophyllia,HC,
SAR_LBP,Lobophytum,SC,
MA,Macroalgae,MA,
SP_MA,Massive Sponge,SP,
MER_MER,Merulina,HC,
MIL,Millepora (Fire coral),SI,
MI,Mobile Invertebrates,MI,
ACR_MON,Montipora,HC,
MER_MYC,Mycedium,HC,
NUDI,Nudibranch,SS,
ACR_OTH,Other Acroporidae,HC,
AGA_OTH,Other Agariciidae,HC,
COS_OTH,Other Coscinaraeidae,HC,
DEN_OTH,Other Dendrophylliidae,HC,
EUP_OTH,Other Euphylliidae,HC,
FUN_OTH,Other Fungiidae,HC,
BL_HC,Other Hard Coral Bleached,BL_HC,
LOB_OTH,Other Lobophylliidae,HC,
MER_OTH,Other Merulinidae,HC,
CM_OM,Other Microbial Mats,CM,
NEP_OTH,Other Nephtheidae,SC,
PLE_OTH,Other Plerogyridae,HC,
POC_OTH,Other Pocilloporidae,HC,
POR_OTH,Other Poritidae,HC,
RHI_OTH,Other Rhizangiidae,HC,
SAR_OTH,Other Sarcophytidae (Alcyoniidae),SC,
XEN_OTH,Other Xeniidae,SC,
OT,Others - Abiotic,OT,
OUR_OUR,Oulastrea,HC,
LOB_OXY,Oxypora,HC,
PAC_PAC,Pachyseris,HC,
AGA_PAV,Pavona,HC,
MER_PEC,Pectinia,HC,
PLE_PHY,Physogyra,HC,
MER_PLA,Platygyra,HC,
PLE_PLE,Plerogyra,HC,
PLS_PLS,Plesiastrea,HC,
POC_POC,Pocillopora,HC,
BL_POC,Pocillopora Bleached,BL_HC,
FUN_POD,Podabacia,HC,
POR_POR,Porites,HC,
BL_POR,Porites Bleached,BL_HC,
PSA_PSA,Psammocora,HC,
RHI_PSE,Pseudosiderastrea,HC,
MA_RE,Red Macroalgae,MA,
HS_RM,Reef Matrix with Turf,TA,
SS_SA,Sand,SS,
SAR_SAR,Sarcophyton,SC,
SAR_SCP,Sclerophytum,SC,
POC_SER,Seriatopora,HC,
SI,Sessile Invertebrates,SI,
SS_SI,Silt,SS,
SC,Soft Coral,SC,
SP,Sponge,SP,
POC_STY,Stylophora,HC,
MER_TRA,Trachyphyllia,HC,
DEN_TUB,Tubastraea,HC,
DEN_TUR,Turbinaria,HC,
TA,Turf Algae,TA,
TA_SD,Turf with Sediment,TA,
HS_RB,Unconsolidated Rubble with Turf,TA,
UN,Unknown/Unidentifiable,UN,
XEN_XEN,Xenia,SC,
ZOA,Zoantharia (Zoanthids),SI,
